sentence,label,class
"usage and adverse effects of identified mtbfadd32 potential inhibitors.accolate treats and manage asthma in children (>=5 years old ) and adults [34] agitation, repetitive behaviours and progressive liver failure [35] sorafenib treats unresectable liver carcinoma and primary kidney cancer [36] diarrhea, fatigue and hypertension [37] mefloquine treats malaria infections [38] psychosis, convulsions and acute brain syndrome [39] loperamide treats and control nonspecific and chronic diarrhea [40] constipation, drowsiness and abdominal discomfort [41] 3.",0,Negative
"long-term maternal administration of ritodrine is known to be associated with various adverse effects in newborns, including hypoglycemia, ileus, hypotension and hypocalcemia [1] .",0,Negative
"/2021 assessed for eligibility (n=102) excluded (n=5) * screen failures (5) mitt analysis: participants who initiated bamlanivimab 7000 mg, n=48 early treatment discontinuation due to adverse event ( (12) mitt analysis: participants who initiated allocated intervention, n=111early treatment discontinuation, n=0discontinued study follow-up, n=11 (9.9%) * on or before day 28, n=5 (4.5%) * lost to follow-up = 2 * requirement to start alternate therapy = 1 * withdrawal of consent = 2 * after day 28, n=6 (5.4%)* lost to follow-up = 6allocated to bamlanivimab 700mg (n=110) * received bamlanivimab 700mg (n=111) a * did not receive intervention (n=0)early treatment discontinuation, n=0discontinued study follow-up, n= 11 (9.8%) * on or before day 28, n=1 ( np and an viral loads did not differ by protocol-defined risk category (""higher"" vs ""lower"") for covid-19 progression (b), but were significantly higher among participants entering the study with fewer days of symptoms (5 vs >5 days) (c) and among viremic vs aviremic participants (d).",0,Negative
"35 this is an important consideration when comparing outcomes with those reported with ven-obi in the cll14 patient population; comorbidity burden was much higher than in the resonate-2 population.although an infrequent cause for drug cessation, atrial fibrillation (af) is a concerning adverse effect that occurs in up to 15% of unselected ibrutinib-treated patients within the first 3 to 5 years, 32, 36 with higher rates in those with a history of af or the presence of risk factors, such as male sex, age .75 years, valvular heart disease, or concomitant hypertension, all of which are common in patients with cll.",0,Negative
"thus, hospital admission in itself is a severe prognostic factor in evaluating the outcome of covid-19, irrespective of comorbidity.it has been speculated that, apart from already identified adverse prognostic factors, patients with chronic inflammatory diseases could be particularly susceptible to suffer a severe covid-19 course -and in particular ongoing immunomodulatory therapy (biologics), immunosuppressive drugs (methotrexate and azathioprine), and glucocorticoids could be of importance for the outcome [7, 22] .",0,Negative
"the tyg index was defined as previously reported: tyg index = ln (fasting triglyceride (tg, mg/dl) x abbreviations: t2dm, type 2 diabetes; ir, insulin resistance; cvds, cardiovascular diseases; tyg, triglyceride-glucose; acs, acute coronary syndrome; macces, major adverse cardiovascular and cerebrovascular events; hba1c, glycosylated hemoglobin a1c; uap, unstable angina pectoris; nstemi, non-st-segment elevation myocardial infarction; stemi, st-segment elevation myocardial infarction; cabg, coronary artery bypass grafting; roc, receiver operating characteristic; bmi, body mass index; sbp, systolic blood pressure; dbp, diastolic blood pressure; tg, triglyceride; fbg, fasting blood glucose; tc, total cholesterol; ldl-c, low-density lipoprotein cholesterol; hdl-c, high density lipoprotein cholesterol; cr, creatinine; sua, serum uric acid; crp, c-reactive protein; hs-tni, high sensitivity troponin i; mi, myocardial infarction; iqr, interquartile range; hrs, hazard ratios; rcs, restricted cubic spline; ci, confidence level; acei, angiotensin-converting enzyme inhibitor; auc, area under curve; bnp, brain natriuretic peptide; egfr, estimated glomerular filtration rate; homa-ir, homeostasis model assessment of insulin resistance; cac, coronary artery calcification; cad, coronary artery disease; cta, computed tomography angioplasty; icu, intensive care unit; pci, percutaneous coronary intervention; ami, acute myocardial infarction.",0,Negative
"one retrospective case series in china showed that ade adverse events, sd standard deviation, faers food and drug administration adverse event reporting system a meddra preferred terms related to covid-19 including ""asymptomatic covid-19"", ""covid-19"", ""covid-19 pneumonia"", ""suspected covid-19"", ""sars-cov-2 carrier"", ""exposure to sars-cov-2"", ""occupational exposure to communicable disease"", ""occupational exposure to sars-cov-2"", ""coronavirus test"", ""coronavirus test negative"", ""sars-cov-2 test"", ""sars-cov-2 test false negative"", ""sars-cov-2 test negative"", ""sars-cov-2 test positive"", ""covid-19 prophylaxis"", ""covid-19 treatment"", ""covid-19 immunisation"", ""patient isolation"", ""quarantine"", ""multisystem inflammatory syndrome in children"", ""sars-cov-2 sepsis"", ""sars-cov-2 viraemia"", ""sars-cov-2 test false positive"", ""sars-cov-2 antibody test"" b all other drugs including the all drugs except lopinavir-ritonavir used in the covid-19 cases c identified by a narrow smq of ""drug related hepatic disorders,"" which includes narrow scope of cholestasis and jaundice of hepatic origin, liver related investigations, signs and symptoms, liver-related coagulation and bleeding disturbances, noninfectious hepatitis, hepatic failure, fibrosis, cirrhosis, other drug-related liver damage, liver neoplasms (benign, including cysts and polyps), and liver neoplasms (malignant and unspecified) d identified by a narrow smq of ""drug related hepatic disorderssevere events only,"" which includes narrow scope of noninfectious hepatitis, hepatic failure, fibrosis, cirrhosis, other drug-related liver damage, liver neoplasms (benign, including cysts and polyps), and liver neoplasms (malignant and unspecified)lopinavir-ritonavir (n = 845) a higher proportion of patients with abnormal liver function had taken lopinavir-ritonavir after admission than those with normal liver function (57.8% vs. 31.3%) [11] .",0,Negative
"71 consistently, dapagliflozin did not signal safety concerns, indeed, there were no significant differences versus placebo in terms of volume depletion, renal adverse events, fractures, limb amputations, major hypoglycaemia (also shown in patients without t2d), diabetic ketoacidosis, urinary infections or all infections; whereas any serious adverse events were significantly higher in the placebo than in the dapagliflozin group.",0,Negative
"taken together, these reports suggest that the molecular mechanisms by which eperisone preferentially reduces the percentage of viable lung fibroblasts may involve previously reported factors that regulate fibroblast activation.although pirfenidone and nintedanib are currently used in clinical practice to treat ipf, in some cases, these drugs have not shown efficacy and have been reported to induce adverse effects such as elevation of liver damage markers, diarrhea, and indigestion [5, 6] .",0,Negative
"nevertheless, most drugs do not seem to reduce the immunogenic response and vaccine efficacy to the influenza vaccine.various ms drugs have been demonstrated to be adversely linked with the reactivation of hbv, including ofatumumab, ocrelizumab, alemtuzumab and cladribine.",0,Negative
(2020) came to a different conclusion: this research showed that oseltamivir is ineffective in the management of covid-19 and so is not currently recommended.,0,Negative
"in the multicenter, randomized, double-blind placebo-controlled phase 3 study with idelalisib plus rituximab, the reported serious adverse events included pneumonia 6% and febrile neutropenia 5%.",0,Negative
early studies of inhaled iloprost in patients with ards and pulmonary hypertension showed improved oxygenation without adverse effects on pulmonary mechanics or systemic hemodynamics [24] .,0,Negative
"gene regulation (cellular metabolism, regulation of innate and adaptive immunity) [98] ; immunomodulatory properties [99] ; direct regulatory role in skeletal muscle [93] ;maintains calcium and phosphorus homeostasis in the circulation, cell differentiation, and antiproliferative actions in bone marrow (osteoclast precursors and lymphocytes), immune system cells, skin, breast and prostate epithelial cells, muscle and intestine [37] ; oxidative stress (antioxidant agent) [95] increased risk of frailty [91] ; associated with the severity of frailty [92] association with low muscle mass and function, poor physical performance, risk of falls [88, 89] , lower grip strength 3 years later [90] , decrease in walking time or time to complete a repeated chair stand [88] associated with adverse clinical outcomes during the hospital stay and after 30 days (mortality, length of stay, falls, and quality of life) [100] ; increased risks of incident hospital-diagnosed delirium [101] ;cardiovascular disease [102] ; association with poorer cognition [103] rehabilitation outcomes after acute stroke not improved [104] ; data are incongruent, and further evidence of clinical benefit is required [34, 105, 106] ; levels ranging approximately from 75 to 120 nmol/l would increase in rates of all-cause mortality, some cancers, risk of cardiovascular events, falls and fractures among older adults [36, 39] ; high-dose administration of vitamin d3 to deficient older women increased total antioxidant capacity levels [97] vitamin c genetic and epigenetic regulation mechanisms (hydroxylation of transcription factors, trna and ribosomal proteins, demethylation of dna, and histones), oxidative stress (protection against ros), reduction in iron in the gastrointestinal tract, inflammation (pro-inflammatory cytokines production) [55, [107] [108] [109] reducing and antioxidant agent;biosynthesis of collagen, carnitine, and catecholamine; metabolism of cholesterol, steroids, hormones (oxytocin, vasopressin, cholecystokinin, and alpha-melanocyte-stimulating hormone), hydroxylation of phenylalanine in tyrosine formation) [50] association of lower concentrations of antioxidants (e.g., vitamins c and e) with frailty [110] ; association of a lower intake with a higher risk of frailty [111] positive association between circulating vitamin c levels and measures of skeletal muscle mass [112] scurvy [113] ; association of high vitamin c status with better cognitive function [114] [115] [116] [117] [118] ; association of vitamin c status with all-cause mortality and association of vitamin c status with cancer and cardiovascular disease mortality [119] [120] [121] effective against scurvy [107, 113] ; no difference in cognitive function between supplementation and adequate dietary intake [118] ; no reduction or only a moderate reduction in the risk of heart disease [122] ; neither an improvement in grip strength nor prevention of low-grip strength [123] ; potentially beneficial for increasing dna repair [124] vitamin e modulating gene expression in the brain, transduction and gene expression, survival factor for specific neuronal cells, antioxidant preventing damage to membranes or proteins and regulating their activity by specifically scavenging reactive oxygen and nitrogen species [125] lipophilic antioxidant, intracellular and cellular membrane integrity and stability, stability of erythrocytes, conductivity in central and peripheral nerves, and prevents hemolytic anemia [63, 126] association of low vitamin e concentration with a higher prevalence and higher risk of frailty [127] [128] [129] [130] ;positive associations between greater intakes and indices of skeletal muscle mass, bone density status, and the total and hip fracture risks [60] peripheral neuropathy or ataxia [53, 131] neither an improvement in grip strength nor prevention of low-grip strength [123] ; reduction in exercise-induced oxidative stress and muscle damage [132] ; combined supplementation with vitamin e, vitamin d, and whey protein improved muscle mass and muscle strength [133] antioxidative response against oxidative stress [134, 135] ; metabolism of homocysteine [136] and a cofactor for methionine synthase [137] ; metabolism of mma [138] ; mitochondrial function [139] cell division, red blood cell formation, energy metabolism, immune system function, neurological and psychological functions, reduction in tiredness and fatigue [136, 140] does not directly increase the incidence of frailty [141] physical performance; gait speed and balance [142] ; directly and positively associated with physical functioning [143] ; association between mma concentrations and functional status, physical performance and muscle strength [144] ; elevated serum homocysteine level is associated with an increased risk of decline in physical function [145] and with disability in adl and instrumental adl [146, 147] ; homocysteine concentrations are inversely associated with physical performance (e.g., gait speed) in older adults [148] peripheral neuropathy, paresthesia, muscle cramps, ataxia, asthenia, cognitive and psychiatric disorders [149, 150] ; ataxia, which can lead to loss of mobility and falls [151] ; alzheimer's disease [152] ; megaloblastic anemia [72] reduction in plasma homocysteine levels [153, 154] ;increases overall dna methylation and influences the regulation of several genes [155] ; adequate intake of b vitamins (b6, b9 and b12) can improve mitochondrial function, which may be beneficial for physical performance [139] vitamin b9dna, rna, and protein methylation (dna replication, repair, and pathways involving the synthesis of nucleotides, amino acids, and some vitamins) [156, 157] ; metabolism of homocysteine [158] ; oxidative stress (antioxidant agent) [159] ; mitochondrial function [139] cell division and tissue growth, red blood formation, psychological functions, reduction in tiredness and fatigue; amino acid synthesis, immune system [77, 158, 160] association between low intake and frailty [32] muscle weakness in older people [161] ; directly and positively associated with physical functioning [143] megaloblastic anemia [72] , neuropathy and neural tube defects [162] ; alzheimer's disease [163, 164] ; cardiovascular disease [165] ;depression [166] reduction in plasma homocysteine levels [153, 154] ; less oxidative stress by increasing serum gsh concentrations and tac, and decreasing serum concentrations of mda [159] vitamin b6cofactors for enzymes involved in amino acid metabolism, one-carbon reactions, glycogenolysis and gluconeogenesis, haem synthesis, niacin formation, lipid metabolism, neurotransmitter synthesis, and hormone action [79] ; metabolism of homocysteine [153, 154] ; cytokine metabolism, antibody production, and lymphocyte proliferation [167] ; antioxidant agent [168] cellular antioxidant role of pyridoxine via gsh biosynthesis [169] ; mitochondrial function [139] protein and glycogen metabolism, nervous system function, red blood cell formation, immune system function, regulation of hormonal activity [170] association between increased levels of vitamin b6 and frailty [84] directly and positively associated with physical functioning [143] microcytic anemia, confusion, depression, inflammation of the tongue and sores or ulcers of the mouth, dermatitis [72] reduction in plasma homocysteine levels [153, 154] * no consensus on supplementation for people with deficiencies except for vitamin d.although the consequences of vitamin d deficiency on skeletal muscle function have been extensively studied, the effects of supplementation remain subject to debate.",0,Negative
"currently, the only two fda-approved medications for coccidioidomycosis are amphotericin b and ketoconazole; however, both are associated with the potential for significant adverse effects.",0,Negative
"pisop stratum)* microbiological testing for sars-cov-2 of upper or lower respiratory tract secretions or both has occurred or is intended to occurpatients will be excluded from this domain if they have any of the following:* more than 48 hours has elapsed since icu admission* clinical or laboratory bleeding risk or both that is sufficient to contraindicate therapeutic anticoagulation, including intention to continue or commence dual anti-platelet therapy* therapeutic anticoagulation is already present due to prior administration of any anticoagulant agent that is known or likely to still be active or a clinical decision has been made to commence therapeutic anticoagulation* enrolment in a trial evaluating anticoagulation for proven or suspected covid-19 infection,where the protocol of that trial requires continuation of the treatment assignment specified in that trial* known or suspected previous adverse reaction to ufh or lmwh including heparin induced thrombocytopenia (hit).* the treating clinician believes that participation in the domain would not be in the best interests of the patientpatients will be randomly assigned to receive either of the following open-label strategies.",0,Negative
